HOST	PAGEGROUPNAME	FREQ	DURATION	REQUESTSTART
"nav-overlay-gift-test-large-1"	Product Detail Page	74403	404.407	5.578
"nike-20180606"	Product Detail Page	74391	370.157	5.387
"analytics-static.ugc.bazaarvoice.com"	read_review	73982	39.102	3.822
"www.google-analytics.com"	homepage	73413	434.800	1518.572
"apps.nexus.bazaarvoice.com"	read_review	72985	57.181	2.897
"www.googletagservices.com"	read_review	72945	185.812	1398.708
"adservice.google.com"	read_review	72782	134.041	1171.937
"pippio.com"	shoppingBag	71681	332.062	5058.177
"cdns.brsrvr.com"	read_review	71438	60.427	2.259
"rp.liadm.com"	Product Detail Page	71172	823.534	59.937
"media.richrelevance.com"	search	71033	198.384	38.348
"securepubads.g.doubleclick.net"	password reset	70917	453.461	4186.570
"dservice.google.com"	search	70844	270.639	5340.421
"log.pinterest.com"	Product Detail Page	70780	698.417	55.086
"d.doubleclick.net"	search	70024	611.136	68083.365
"res.tdxio.com"	Product Detail Page	69755	307.638	59.347
"cdn.tagdelivery.com"	product matrix	68630	292.644	64.048
"ct.pinterest.com"	product matrix	68448	607.411	71.530
"cdn.rlcdn.com"	product matrix	68007	504.712	70.764
"www.hlserve.com"	departments	67822	532.353	19.017
"s.yimg.com"	search	67577	136.047	47.782
"s.btstatic.com"	departments	67517	13.630	8.333
"6249496.collect.igodigital.com"	search	67423	106.003	45.516
"s.thebrighttag.com"	purchase-history	67243	142.161	7.994
"css"	search	67023	56.199	543.927
"sc-static.net"	search	66884	179.753	90.999
"cm.everesttech.net"	product matrix	66319	420.722	47.955
"ad.doubleclick.net"	search	64972	620.002	72711.412
"static.masterpass.com"	dsign-in	64654	595.061	14.468
"sp.analytics.yahoo.com"	search	64453	441.587	53.017
"www.hlserve.com"	search results	63681	197.795	45.365
"rp.liadm.com"	search	63672	538.432	53.383
"media.richrelevance.com"	homepage	63629	587.874	3.680
"eus.rubiconproject.com"	Product Detail Page	61511	423.667	229.392
"b.hlserve.com"	NULL	61090	1099.895	13.481
"s.btstatic.com"	ShoppingBag	60749	51.108	0.000
"www.hlserve.com"	NULL	60230	915.906	18.017
"www.google.com"	NULL	59701	578.451	182.647
"checkout"	discounts	59567	528.812	2304.146
"pagead2.googlesyndication.com"	dsign-in	59282	206.598	7136.431
"servedby.flashtalking.com"	product matrix	59231	573.657	41.934
"z.moatads.com"	Product Detail Page	59053	393.386	9.506
"sb.scorecardresearch.com"	myaccount	58880	224.488	2.665
"www.googletagservices.com"	more like this	58863	215.593	1297.853
"adservice.google.com"	more like this	58796	152.720	1173.128
"www.google-analytics.com"	myaccount	58631	133.904	966.563
"apps.zineone.com"	NULL	58413	904.685	10.556
"cdn.rlcdn.com"	Product Detail Page	57839	622.210	77.537
"cdn.tagdelivery.com"	Product Detail Page	57705	269.365	72.332
"securepubads.g.doubleclick.net"	directCheckout	57639	259.520	2075.671
"gampad"	Product Detail Page	57583	701.270	6766.049
"ct.pinterest.com"	Product Detail Page	57225	865.746	81.130
"cdns.brsrvr.com"	more like this	57039	102.693	4.188
"s.btstatic.com"	appgrw_home	56827	27.386	5.007
"stats.g.doubleclick.net"	dsign-in	56706	364.218	6508.262
"adnxs.com"	Product Detail Page	56608	684.885	15.328
"www.google-analytics.com"	directCheckout	56579	157.009	948.607
"www.googletagservices.com"	myaccount	56557	281.011	2634.651
"sb.scorecardresearch.com"	directCheckout	56519	281.301	5.490
"www.bkrtx.com"	search	56254	266.129	58.527
"cdns.brsrvr.com"	Checkout	55844	103.367	21.714
"secure.ace.advertising.com"	Product Detail Page	55240	558.829	10.032
"css"	myaccount	54613	86.974	417.327
"gpt"	product matrix	54409	274.190	6891.547
"social.skavaone.com"	product matrix	54196	3.754	0.000
"pagead2.googlesyndication.com"	sale event landing	53283	340.029	6066.772
"s.btstatic.com"	appcharge	52407	13.519	0.694
"stags.bluekai.com"	search	52372	658.474	389.713
"cdns.brsrvr.com"	password reset	52193	294.705	23.216
"chart.googleapis.com"	NULL	52153	185.813	12.650
"s.btstatic.com"	MyWallet	51807	17.148	11.915
"masterpass.com"	directCheckout	51055	419.580	1041.693
"asterpass.com"	directCheckout	51033	419.574	1040.014
"gpt"	myaccount	50080	138.325	1327.762
"dpm.demdex.net"	NULL	49925	443.254	13.507
"s.thebrighttag.com"	myaccount_orderDetail	49377	126.948	6.707
"curations.bazaarvoice.com"	Product Detail Page	49198	456.011	0.065
"maps.googleapis.com"	checkoutshipping	49073	524.829	59.962
"tpc.googlesyndication.com"	NULL	48846	385.922	5506.354
"static.criteo.net"	search	48623	441.721	3784.762
"maps.googleapis.com"	directCheckout	48484	327.900	22.372
"maps.gstatic.com"	store locator	47951	346.260	42.568
"cdns.brsrvr.com"	search results	47484	165.044	18.239
"aps.googleapis.com"	directCheckout	47039	326.899	21.208
"s.btstatic.com"	orderHistory	46720	101.621	0.633
"cdn.ampproject.org"	homepage	46675	271.277	3418.325
"maps.googleapis.com"	myaccount	46519	334.017	7.469
"cdn.tagdelivery.com"	search	46042	135.249	50.122
"static.criteo.net"	sale event landing	45998	820.886	4748.461
"cdn.rlcdn.com"	search	45921	368.127	54.773
"analytics.twitter.com"	shoppingBag	45774	286.274	0.848
"securepubads.g.doubleclick.net"	departments	45604	297.180	1567.355
"s.thebrighttag.com"	checkoutshipping	45398	430.829	31.779
"sb.scorecardresearch.com"	NULL	45345	561.547	10.164
"res.tdxio.com"	product matrix	45105	349.877	53.361
"dpm.demdex.net"	password reset	45067	446.903	26.205
"s.thebrighttag.com"	departments	44919	236.487	5.864
"ct.pinterest.com"	search	44827	436.676	59.094
"cdn.doubleverify.com"	Product Detail Page	44771	333.387	9.288
"dpm.demdex.net"	myaccount	44439	340.463	3.773
"dnisjsqid2b9p.cloudfront.net"	departments	44388	416.995	31.948
"ace.advertising.com"	Product Detail Page	44349	560.758	12.039
"beacon-us-iad2.rubiconproject.com"	Product Detail Page	43898	635.326	3.738
"s.btstatic.com"	discounts	43602	218.645	0.914
"s.btstatic.com"	MyInfo	43473	28.368	15.586
"fw.adsafeprotected.com"	Product Detail Page	43356	489.912	333.245
"ing-district.clicktale.net"	checkoutshipping	43190	399.210	0.000
"css"	sale event landing	43088	254.702	1659.329
"content"	sale event landing	42999	782.649	1979.430
"connect.facebook.net"	NULL	42932	456.047	131.123
"rtb0.doubleverify.com"	Product Detail Page	42790	558.004	4.167
"www.facebook.com"	directCheckout	42201	284.565	13.690
"secure-ds.serving-sys.com"	Product Detail Page	42039	247.526	94.652
"www.facebook.com"	myaccount	41997	235.176	4.216
"secure.adnxs.com"	sale event landing	41950	579.779	22.310
"stats.g.doubleclick.net"	product matrix	41930	560.091	8670.004
"apps.zineone.com"	departments	41554	214.190	16.924
"sjc-usadmm.dotomi.com"	Product Detail Page	41379	611.626	0.000
"dpm.demdex.net"	purchase-history	41319	182.675	9.468
"tic.criteo.net"	product matrix	41175	485.799	5255.052
"s.thebrighttag.com"	checkout	40800	386.326	0.000
"css"	directCheckout	40663	84.237	990.848
"secure.adnxs.com"	NULL	40632	2544.341	0.133
